,author,content,description,publishedAt,source,title,url,urlToImage,count
10,Tommy Palladino,"A week after the L.E.A.P. Conference, our cup of Magic Leap news continues to floweth over, with the company's content chief giving us some insight into the company's strategy, and Twilio sharing what its virtual chat app looks like. Elsewhere, the demand for… [+4667 chars]","A week after the L.E.A.P. Conference, our cup of Magic Leap news continues to floweth over, with the company's content chief giving us some insight into the company's strategy, and Twilio sharing what its virtual chat app looks like. Elsewhere, the demand for…",2018-10-20 14:00:00,"{'id': None, 'name': 'Reality.news'}","Market Reality: Magic Leap, Twilio, Jaunt, & Adidas Reveal the Future of AR Content & Communication",https://next.reality.news/news/market-reality-magic-leap-twilio-jaunt-adidas-reveal-future-ar-content-communication-0188924/,https://img.reality.news/img/99/56/63675543671500/0/market-reality-magic-leap-twilio-jaunt-adidas-reveal-future-ar-content-communication.1280x600.jpg,1
11,Hillary Hoffower,"Contrary to popular belief, you don't need to be rich to get a prenup. Regardless of how much they have in assets, more millennials are signing on the dotted line before saying ""I do"" thanks to the several benefits of prenups. But do you need to be rich to be… [+4285 chars]","How much does a prenup cost? Typically, prenups cost around $2,500, but can cost more if you spend a while haggling out various issues. The cost of a prenup depends on where you live, what you're protecting, who your attorney is, and how long the negotiations…",2018-10-20 16:05:00,"{'id': 'business-insider', 'name': 'Business Insider'}",You don't need to be rich to get a prenup — here's how much you should expect to pay,https://www.businessinsider.com/how-much-does-prenup-cost-2018-10,https://amp.businessinsider.com/images/5bca1f9965d3322ff07cf66d-1920-960.jpg,1
12,,"China and the European Union (EU) have joined a group of countries asking the World Trade Organization (WTO) to investigate the Trump administrations decision to impose metals tariffs on national security grounds, creating a new front in a trade war that has … [+4356 chars]","Business Mirror China, Europe escalate WTO challenge to Trump metals tariffs Business Mirror China and the European Union (EU) have joined a group of countries asking the World Trade Organization (WTO) to investigate the Trump administration's decision to imp…",2018-10-20 16:15:00,"{'id': None, 'name': 'Businessmirror.com.ph'}","China, Europe escalate WTO challenge to Trump metals tariffs - Business Mirror",https://businessmirror.com.ph/china-europe-escalate-wto-challenge-to-trump-metals-tariffs/,https://businessmirror.com.ph/wp-content/uploads/2018/10/world01-102118.jpg,1
13,"USA TODAY, Erik Brady, USA TODAY",Former Olympic snowboarder Ross Rebagliati won the first gold medal in men's snowboarding at the 1998 Olympics. He now runs a business that sells medical marijuana. (Photo: USA TODAY Sports Images) Candy Is dandy But liquor Is quicker. Ogden Nash wrote that q… [+4778 chars],Ross Rebagliati carries the cannabis torch for Canada after country legalized marijuana. Rebagliati knows the challenge now is educating the public.,2018-10-20 16:38:32,"{'id': 'usa-today', 'name': 'USA Today'}",Former Olympics gold medalist Ross Rebagliati is all in on Canada's new pot law,https://www.usatoday.com/story/sports/2018/10/20/marijuana-canada-ex-gold-medalist-ross-rebagliati-carries-torch/1709903002/?utm_source=google&utm_medium=amp&utm_campaign=speakable,"https://www.gannett-cdn.com/presto/2018/10/20/USAT/e1a8d254-c594-46c7-8e28-fe063155c3b0-XXX__-Ross-Rebagliati_234.jpg?crop=4287,2411,x0,y65&width=3200&height=1680&fit=bounds",1
15,AMY CHOZICK,"But there is also a fear that for every story about juggling politics with play dates, we arent hearing about the candidates agenda. It obviates some of the larger policy questions these candidates want to talk about and recenters their candidacies around ide… [+2131 chars]","We need to normalize female politicians, not act as though they’re unicorns. And if someone says “pink wave” again, I’m going to dry heave.",2018-10-20 19:38:00,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",news analysis: Down With the Year of the Woman,https://www.nytimes.com/2018/10/20/sunday-review/down-with-the-year-of-the-woman.html,https://static01.nyt.com/images/2018/10/21/opinion/sunday/21chozick/21chozick-facebookJumbo.jpg,1
16,,"A city official in central Florida has been charged with second-degree murder after a fatal shooting at a military surplus store he owns, authorities said. In indicting Lakeland city commissioner Michael Dunn on the murder charge, a grand jury effectively rej… [+5643 chars]","Washington Post Florida official indicted on murder charge after state rejects 'stand your ground' claim Washington Post A city official in central Florida has been charged with second-degree murder after a fatal shooting at a military surplus store he owns, …",2018-10-20 19:42:45,"{'id': 'the-washington-post', 'name': 'The Washington Post'}",Florida official indicted on murder charge after state rejects 'stand your ground' claim - Washington Post,https://www.washingtonpost.com/nation/2018/10/20/florida-official-indicted-murder-charge-after-state-rejects-stand-your-ground-claim/,https://www.washingtonpost.com/resizer/B47Sd6-MdFTjvIzALBAZ-vkFb9U=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/HHVT3NGUSMI6RJG3DBBRDUTRFE.jpg,1
17,,"People don’t want to hear about branding anymore …. Branding really isn’t what we’re trying to do here …. It’s more than just branding …. You’d be surprised how often I hear statements like these. As you can probably imagine, it drives me nuts. Granted, I’m b… [+4734 chars]",The Gazette: Eastern Iowa Breaking News and Headlines Next Up for business - Is branding over? The Gazette: Eastern Iowa Breaking News and Headlines People don't want to hear about branding anymore …. Branding really isn't what we're trying to do here …. It's…,2018-10-20 21:24:22,"{'id': None, 'name': 'Thegazette.com'}",Next Up for business - Is branding over? - The Gazette: Eastern Iowa Breaking News and Headlines,https://www.thegazette.com/subject/news/business/next-up-for-business-x2014-is-branding-over-20181020,https://www.thegazette.com/storyimage/GA/20181020/ARTICLE/181029914/AR/0/AR-181029914.jpg,1
18,Trends Desk,"By: Trends Desk | New Delhi | Published: October 21, 2018 1:19:53 pm The two cops, who were present at the location to close the late night festivities, ended up joining it. (Source: anand mahindra/Twitter) The garba organisers in Michigan who had barred an I… [+1122 chars]","Two New York cops, who were visiting a location to apparently 'close down the late-night revelry', ended up joining the vibrant celebration. The video tweeted by business tycoon Anand Mahindra created quite a buzz on social media.",2018-10-21 07:49:53,"{'id': None, 'name': 'Indianexpress.com'}","WATCH: US cops join women during garba, match Macarena steps with Gujarati beats",https://indianexpress.com/article/trending/viral-videos-trending/anand-mahindra-us-cops-dancing-garba-with-women-5411193/,https://images.indianexpress.com/2018/10/cop-garba_759_twt.jpg?w=759,1
19,https://www.facebook.com/bbcnews,"Image copyright Getty Images Image caption Beidou's coverage is expanding rapidly, with more than 10 satellite launches in 2018 China has ambitions for its rapidly expanding Beidou satellite navigation system to serve the whole world, not just Asia, but will … [+6289 chars]","China's Beidou is being used in everything from ploughing to precision missiles, but can it go global?",2018-10-21 08:12:17,"{'id': None, 'name': 'Bbc.com'}",China's GPS 'rival' Beidou,https://www.bbc.com/news/technology-45471959,https://ichef.bbci.co.uk/news/1024/branded_news/A0B0/production/_103363114_gettyimages-1025413808.jpg,1
20,,Honor Credit Union gets prestigious award BERRIEN SPRINGS Honor Credit Union received the Association for Talent Development 2018 BEST Award during an Oct. 3 ceremony in Maryland. ATDs BEST Award is the talent development industrys most coveted recognition. T… [+1168 chars],New in Business Herald Palladium Honor Credit Union gets prestigious award. BERRIEN SPRINGS — Honor Credit Union received the Association for Talent Development 2018 BEST Award during an Oct. 3 ceremony in Maryland. ATD's BEST Award is the talent development …,2018-10-21 10:10:05,"{'id': None, 'name': 'Heraldpalladium.com'}",New in Business - Herald Palladium,https://www.heraldpalladium.com/news/local/new-in-business/article_3c5c5f14-4559-55c6-999d-5e479323f24e.html,https://bloximages.chicago2.vip.townnews.com/heraldpalladium.com/content/tncms/custom/image/d176d9ea-0f2d-11e7-aa9e-2f26c6cce10e.png?_dc=1490207512,1
21,,"ELKO, Nevada President Donald Trump says his intention to scrap a landmark arms control agreement Russia follows years of violations by Moscow in developing prohibited weapons, and were not going to be the only one to adhere to it. The Kremlin said the pullou… [+4949 chars]","Washington Post Moscow says US treaty pullout would be 'very dangerous step' Washington Post ELKO, Nevada — President Donald Trump says his intention to scrap a landmark arms control agreement Russia follows years of violations by Moscow in developing prohibi…",2018-10-21 12:01:00,"{'id': 'the-washington-post', 'name': 'The Washington Post'}",Moscow says US treaty pullout would be 'very dangerous step' - Washington Post,https://www.washingtonpost.com/national/trump-says-us-will-pull-out-of-intermediate-range-nuke-pact/2018/10/21/4b462540-d4ea-11e8-a4db-184311d27129_story.html,https://www.washingtonpost.com/resizer/2CjPNwqvXHPS_2RpuRTKY-p3eVo=/1484x0/www.washingtonpost.com/pb/resources/img/twp-social-share.png,1
22,Hamid Dabashi,"In the age of ""fake news"" and ""alternative facts"" you, of course, have ""fake investigations"", too - the sort that FBI did on Brett Kavanaugh's sexual misconduct allegations and now the sort Donald Trump tells us Mohammed bin Salman is doing into allegations o… [+11294 chars]","With the help of the Trump administration, the Saudi regime is trying to sell us a brand new fake investigation.",2018-10-21 12:17:22,"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",On fake investigations: From Kavanaugh to MBS,https://www.aljazeera.com/indepth/opinion/fake-investigations-kavanaugh-mbs-181020095102285.html,https://www.aljazeera.com/mritems/Images/2018/10/20/73761f00100d4153ad88ce87aff6fcc0_18.jpg,1
23,PTI,"By: PTI | Published: October 21, 2018 6:10:23 pm Indian Olympic Association (IOA) President Narinder Batra and General Secretary Rajeev Mehta during the press conference in New Delhi. (Source: PTI) The Indian athletes should be allowed to fly business class f… [+2239 chars]",Indian Olympic Association Secretary General Rajeev Mehta feels that the Indian athletes should be allowed to fly business class for international tournaments and have their dietary allowances doubled.,2018-10-21 12:40:23,"{'id': None, 'name': 'Indianexpress.com'}","Increase allowance, let athletes fly business class: IOA secretary requests Rajyavardhan Rathore",https://indianexpress.com/article/sports/sport-others/increase-allowance-let-athletes-fly-business-class-ioa-secretary-requests-rajyavardhan-rathore-5411508/,https://images.indianexpress.com/2018/06/ioa-759.jpg?w=759,1
24,Alanis King,"Fayetteville, Arkansas outlet 40/29 News reported on Oct. 15 that maintenance crews had to go check on a bridge about an hour away from the city after a bus that was more than three times the weight limit drove across it. The bridge, built in 1949 and called … [+1707 chars]","Fayetteville, Arkansas outlet 40/29 News reported on Oct. 15 that maintenance crews had to go check on a bridge about an hour away from the city after a bus that was more than three times the weight limit drove across it. The bridge, built in 1949 and called …",2018-10-21 14:00:00,"{'id': None, 'name': 'Jalopnik.com'}",Bus Weighing Three Times the Limit of Old Wooden Bridge Just Drives Across It Anyway,https://jalopnik.com/bus-weighing-three-times-the-limit-of-old-wooden-bridge-1829872980,"https://i.kinja-img.com/gawker-media/image/upload/s--l8VgYwd7--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/fg2kxy3bv6wyajdrritu.jpg",1
25,Thomas Gnau,"Military innovations are often the perfect launching pad for commercial businesses far outside military base fences. For that reason, Nicholas Ripplinger, founder of Dayton’s Battle Sight Technologies, doesn’t see TechLink as just another program. Neither doe… [+3928 chars]","Dayton Daily News Company connects military inventions to private business Dayton Daily News Military innovations are often the perfect launching pad for commercial businesses far outside military base fences. For that reason, Nicholas Ripplinger, founder of …",2018-10-21 15:44:50,"{'id': None, 'name': 'Mydaytondailynews.com'}",Company connects military inventions to private business - Dayton Daily News,https://www.mydaytondailynews.com/business/company-connects-military-inventions-private-business/vVPq8G3u19JTWUNcrZY3XP/,https://www.daytondailynews.com/rf/image_large/Pub/p9/MyDaytonDailyNews/2018/10/21/Images/newsEngin.23242721_newsEngin.21857677_Nicholas-Ripplinger.jpg,1
26,Krystal D'Costa,"This article is a part of the Workplace Anthropology Series. During the confirmation hearings of Supreme Court nominee Brett Kavanaugh, a viral photo captured an elderly couple on an uptown New York City 1 train listening to the testimony intently on a cell p… [+7403 chars]",The always-on media cycle means political news is at our fingertips. What does this mean for employers? -- Read more on ScientificAmerican.com,2018-10-21 19:00:00,"{'id': None, 'name': 'Scientificamerican.com'}",The Impact of Politics on Workplace Productivity,https://blogs.scientificamerican.com/anthropology-in-practice/the-impact-of-politics-on-workplace-productivity/,https://static.scientificamerican.com/blogs/cache/file/94BC93D9-6350-4F50-BB5CCD0A13541837.jpg,1
27,Associated Press,"SNELLVILLE, Ga. (AP) — Two teen-aged suspects, including one who is still being sought by police, were charged in connection with the fatal shooting of a George police officer who was killed while responding to a suspicious vehicle parked near a middle school… [+1541 chars]",Business Insider Manhunt underway for 18-year-old man police say fatally shot an officer in Georgia Business Insider Police in Georgia are looking for a young man they say shot Officer Antwan Toney on Saturday afternoon. Authorities say 18-year-old Tafahree M…,2018-10-21 19:13:00,"{'id': 'business-insider', 'name': 'Business Insider'}",Manhunt underway for 18-year-old man police say fatally shot an officer in Georgia - Business Insider,https://www.businessinsider.com/ap-2-men-charged-in-georgia-officers-shooting-death-2018-10,https://amp.businessinsider.com/images/5bcc8191c63f4e48fb3582a3-2732-1366.jpg,1
28,"USA TODAY, John Bacon, USA TODAY",US officials are reminding travelers that it remains illegal to bring marijuana into the United States at border crossings despite the legalization of the drug in Canada. (Oct. 17) AP Cafe employees offer coffee to people lining-up to purchase legal cannabis … [+3303 chars],"Days after recreational marijuana became legal in Canada, our neighbors to the north may already be running out.",2018-10-21 19:51:07,"{'id': 'usa-today', 'name': 'USA Today'}",No more marijuana? Canadian pot 'craze' creates shortages days after sales begin,https://www.usatoday.com/story/news/world/2018/10/21/marijuana-canadas-craze-creates-shortages-days-after-sales-begin/1721651002/?utm_source=google&utm_medium=amp&utm_campaign=speakable,"https://www.gannett-cdn.com/presto/2018/10/21/USAT/a0e45506-27c9-4c42-8aa2-9c248782a678-AP_Canada_Marijuana_Legalization.1.jpg?crop=3999,2263,x0,y23&width=3200&height=1680&fit=bounds",1
29,Michael J. Coren,"The world wants answers from Saudi Arabia about the brutal murder of journalist Jamal Khashoggi on Oct. 2. The US president, for his part, praised the ruler many believe responsible, Saudi crown prince Mohammed bin Salman, as a person who can keep things unde… [+4488 chars]","The world wants answers from Saudi Arabia about the brutal murder of journalist Jamal Khashoggi on Oct. 2. The US president, for his part, praised…",2018-10-21 21:01:19,"{'id': None, 'name': 'Qz.com'}","As the world fumes over Jamal Khashoggi’s murder, Trump praises the ruler many deem responsible",https://qz.com/1431314/trump-praises-saudi-crown-prince-amid-outrage-over-khashoggi/,https://cms.qz.com/wp-content/uploads/2018/10/RTS231TY-e1539540923840.jpg?quality=75&strip=all&w=1400,1
30,https://www.facebook.com/zezimak,"PANAMA CITY, Fla. Business used to be good at Peggy Sue Singletons tiny, white cinder-block barber shop, where she and a co-worker snipped and buzzed more than 200 heads of hair each week in this seaside city adjacent to a military base. The cinder blocks now… [+8457 chars]","Washington Post After Hurricane Michael, Panama City residents cope with no power, cash-only transactions and baby-wipe showers Washington Post PANAMA CITY, Fla. — Business used to be good at Peggy Sue Singleton's tiny, white cinder-block barber shop, where s…",2018-10-21 21:14:02,"{'id': 'the-washington-post', 'name': 'The Washington Post'}","After Hurricane Michael, Panama City residents cope with no power, cash-only transactions and baby-wipe showers - Washington Post",https://www.washingtonpost.com/national/hurricane-michael-left-many-in-panama-city-without-power-water-or-internet-putting-many-into-survival-mode/2018/10/21/7c54c39c-d316-11e8-8c22-fa2ef74bd6d6_story.html,https://www.washingtonpost.com/resizer/ZE7jrXakoB8w5MjFaJDmsTdKDN8=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/XFVXSOWT4YI6RJG3DBBRDUTRFE.jpg,1
31,"USA TODAY, Kristin Lam, USA TODAY","Have your lucky numbers ready for the Mega Millions jackpot? Buzz60's Mercer Morrison has the story. Buzz60 A customer shows her purchased Mega Millions lottery tickets at a retailer in Washington, D.C., Oct. 20, 2018. (Photo: ERIK S. LESSER, EPA-EFE) LOS ANG… [+4326 chars]","Since last week, convenience and gas station workers say business has been ""non-stop,"" ""intense"" and ""crazy"" — all because of the now record-breaking $1.6 billion Mega Millions jackpot.",2018-10-22 01:26:06,"{'id': 'usa-today', 'name': 'USA Today'}",'Why not give it a try? You never know': Mega Millions' $1.6 billion jackpot creates a frenzy,https://www.usatoday.com/story/news/2018/10/21/mega-millions-mania-grows-jackpot-hits-record-breaking-total/1723474002/?utm_source=google&utm_medium=amp&utm_campaign=speakable,"https://www.gannett-cdn.com/presto/2018/10/21/USAT/3fc43f6a-bdfd-4903-b672-a55d7d351d70-EPA_USA_MEGA_MILLION_LOTTERY.2.jpg?crop=4542,2555,x0,y0&width=3200&height=1680&fit=bounds",1
32,,"FULL TEXT OF ABUSE APOLOGY: Today the Australian Government and this parliament, on behalf of all Australians, unreservedly apologises to the victims and survivors of institutional child sexual abuse. For too many years our eyes and hearts were closed to the … [+3789 chars]","Yahoo News Australia apologises to abuse victims Yahoo News FULL TEXT OF ABUSE APOLOGY: Today the Australian Government and this parliament, on behalf of all Australians, unreservedly apologises to the victims and survivors of institutional child sexual abuse…",2018-10-22 02:39:07,"{'id': None, 'name': 'Yahoo.com'}",Australia apologises to abuse victims - Yahoo News,https://au.news.yahoo.com/australia-apologises-abuse-victims-023352545--spt.html,https://s.yimg.com/uu/api/res/1.2/4h7yyNpDXUREMblUyaTZxQ--~B/aD03MjA7dz0xMjgwO3NtPTE7YXBwaWQ9eXRhY2h5b24-/http://media.zenfs.com/en_AU/Sports/oly_au_aap/4767073_EXP_Apology_Fulltext_16-9_15004957_1900384_201810221310284a165b2a-95c6-4968-8c39-78504f94eb70.jpg_sd_1280x720.jpg,1
33,,U.S. Secretary of State Mike Pompeo speaks to the press before boarding his plane at Mexico City Thomson Reuters SHANGHAI (Reuters) - Chinese state media sharply criticized U.S. Secretary of State Mike Pompeo on Monday after he made comments in Latin America … [+2297 chars],Business Insider China state media slams Pompeo's Latam warning as 'ignorant and malicious' Business Insider SHANGHAI (Reuters) - Chinese state media sharply criticized U.S. Secretary of State Mike Pompeo on Monday after he made comments in Latin America warn…,2018-10-22 03:01:13,"{'id': 'business-insider', 'name': 'Business Insider'}",China state media slams Pompeo's Latam warning as 'ignorant and malicious' - Business Insider,http://uk.businessinsider.com/r-china-state-media-slams-pompeos-latam-warning-as-ignorant-and-malicious-2018-10,http://static2.uk.businessinsider.com/image/5bcd271dbde70f795928469a-1190-625/china-state-media-slams-pompeos-latam-warning-as-ignorant-and-malicious.jpg,1
34,,"Chinese policymakers have been left searching for answers to the trade war with the US because the domestic think tanks Beijing has called on for guidance have provided filtered information to avoid offending supervisors, sources close to the Chinese governme… [+6464 chars]",Yahoo News Chinese experts 'filtered' trade war advice to Beijing policymakers Yahoo News Chinese policymakers have been left searching for answers to the trade war with the US because the domestic think tanks Beijing has called on for guidance have provided …,2018-10-22 04:13:46,"{'id': None, 'name': 'Yahoo.com'}",Chinese experts 'filtered' trade war advice to Beijing policymakers - Yahoo News,https://sg.news.yahoo.com/beijing-crippled-trade-war-filtered-034952296.html,https://s.yimg.com/uu/api/res/1.2/.UreYUjn35Xr.yp3TsRp2g--~B/aD03MjA7dz0xMjgwO3NtPTE7YXBwaWQ9eXRhY2h5b24-/http://media.zenfs.com/en-SG/homerun/south_china_morning_post_621/d19c5602dc5ba4cf6190219b81010c83,1
35,PTI,"By: PTI | Mumbai | Published: October 22, 2018 9:51:25 am Forex dealers said weakness in the dollar against a few currencies overseas and early gains in domestic equities gave some support to the rupee. The rupee strengthened by 8 paise to 73.24 against the d… [+843 chars]","Meanwhile, the benchmark BSE Sensex rose 321.41 points, to 34,637.04 in opening trade.",2018-10-22 04:21:25,"{'id': None, 'name': 'Indianexpress.com'}",Rupee gains 8 paise to 73.24 against US dollar in early trade,https://indianexpress.com/article/business/market/rupee-gains-8-paise-to-73-24-against-us-dollar-in-early-trade-5412064/,https://images.indianexpress.com/2018/10/m_id_257815_rupee_and_dollar-6.jpg?w=759,1
36,By CHRISTOPHER BODEEN  Associated Press,"Around 500 Japanese business leaders will accompany Prime Minister Shinzo Abe when he visits Beijing this week, amid an ongoing China-U.S. trade feud that is hurting industries on both sides. A Japanese government official speaking Monday on routine condition… [+3045 chars]","Abe to bring business leaders to Beijing amid US trade spat The News Tribune Around 500 Japanese business leaders will accompany Prime Minister Shinzo Abe when he visits Beijing this week, amid an ongoing China-U.S. trade feud that is hurting industries on bo…",2018-10-22 04:45:00,"{'id': None, 'name': 'Thenewstribune.com'}",Abe to bring business leaders to Beijing amid US trade spat - The News Tribune,https://www.thenewstribune.com/news/business/article220425580.html,https://www.thenewstribune.com/wps/source/images/thenewstribune/facebook.jpg,1
